well_number,wl_id,latitude,longitude
MORR_0000600,222908,45.753715,-119.549874
MORR_0051844,437418,45.832895,-119.769653
MORR_0051877,445084,45.87107607,-119.49759198
MORR_0051885,447931,45.7407,-119.446727
MORR_0051886,448073,45.78942,-119.48728
MORR_0051933,455254,45.758449,-119.54401
MORR_0052069,473334,45.83001,-119.74984
MORR_0052247,492206,45.82841,-119.77009
MORR_0052280,499910,45.82993,-119.65697
MORR_0052281,500106,45.82626512,-119.64640805
MORR_0052283,501100,45.82529,-119.79571
MORR_0052290,503736,45.83101,-119.65628
MORR_0052314,508291,45.733693,-119.57719
MORR_0052346,511020,45.69277,-119.48583
MORR_0052351,514482,45.732806,-119.559988
MORR_0052387,517114,45.7223,-119.8744
MORR_0052394,519442,45.7150553,-119.4552293
MORR_0052396,519444,45.7045544,-119.5064163
MORR_0052443,527240,45.83081,-119.65571
MORR_0052445,529335,45.82985072,-119.68772253
MORR_0052458,535285,45.87176,-119.49974
MORR_0052461,538007,45.90279478,-119.43471224
MORR_0052465,538778,45.81557477,-119.76227295
MORR_0052511,558333,45.82040949,-119.67503898
MORR_0052562,566760,45.78471255,-119.73774323
MORR_0052576,569932,45.88408,-119.49733
MORR_0052597,571924,45.68482647,-119.59862187
MORR_0052598,572837,45.89561983,-119.45026457
MORR_0052638,580309,45.815325,-119.812082
MORR_0052711,595884,45.8977941,-119.4655996
MORR_0052735,598397,45.815325,-119.812082
MORR_0052752,598810,45.61141812,-119.72378349
MORR_0052764,599841,45.852467,-119.664674
MORR_0052790,601137,45.61744435,-119.5339582
MORR_0052817,601563,45.852604,-119.664721
MORR_0052885,602463,45.8168622,-119.7087804
MORR_0052887,602573,45.61997322,-119.60229015
MORR_0052911,605554,45.8260894,-119.6675776
MORR_0052913,605601,45.721688,-119.448743
MORR_0052914,605602,45.719388,-119.436428
MORR_0052946,607267,45.8206817,-119.6265147
MORR_0052947,607268,45.8185439,-119.6273006
MORR_0052948,607269,45.8185692,-119.6257325
MORR_0052949,607270,45.819887,-119.6256369
MORR_0052955,608032,45.83023452,-119.75051975
MORR_0052970,609475,45.8343475,-119.5594021
MORR_0052971,609566,45.60933168,-119.53821754
MORR_0052979,611672,45.9005004,-119.4380955
MORR_0053019,614282,45.8235631,-119.687033
MORR_0053038,615938,45.6070494,-119.7566045
